Country,Years,Homicide,Burglary,Rape,Theft,Education,GDP,Unemployment,Migration
"Saint Kitts and Nevis",2009,0.9209372032949067,0.9545291827049689,0.7650401862893763,0.8373310031109442,-0.1,0.800922441383166,0.5169925001442313,-0.1
"Saint Lucia",2009,0.7204455596790265,-0.1,-0.1,-0.1,-0.1,0.7393852777030396,0.7813781191217037,-0.1
"Saint Pierre and Miquelon",2009,0.6462218697719855,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
"Saint Vincent and the Grenadines",2009,0.67367418281025,0.9567204563385935,0.8670384449838764,0.8922463732560346,-0.1,0.7323658442006913,-0.1,-0.1
Samoa,2009,0.5121187153672537,-0.1,-0.1,-0.1,-0.1,0.6757822194967331,-0.1,-0.1
"San Marino",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.9447507041511037,0.39999999999999997,-0.1
"Sao Tome and Principe",2009,0.25605935768362686,-0.1,0.3088453256022203,0.1318954636519619,-0.1,0.5929067852271851,-0.1,-0.1
"Saudi Arabia",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.8103932652461003,0.4643856189774725,-0.1
Senegal,2009,-0.1,-0.1,0.3991767926023775,-0.1,-0.1,0.5809220377544478,-0.1,-0.1
Serbia,2009,0.16155546744299637,0.6670489215908418,0,0.6093072236485653,-0.1,0.7273852320539271,0.7999999999999999,-0.1
Seychelles,2009,0.3751201787385539,-0.1,-0.1,-0.1,-0.1,0.765562543370462,-0.1,-0.1
"Sierra Leone",2009,0.25605935768362686,-0.1,-0.1,-0.1,-0.1,0.5097475017796221,-0.1,-0.1
Singapore,2009,-0.1,0.3889387821996087,0.3088453256022203,0.7140998155656679,-0.1,0.8864434295803845,0.39999999999999997,-0.1
"Sint Maarten (Dutch part)",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.854010286284611,-0.1,-0.1
Slovakia,2009,0.16155546744299637,0.7466523414903754,0.24475412980126737,0.7494190082421311,-0.1,0.8146208512860384,0.7169925001442312,-0.1
Slovenia,2009,0,0.8760387676894996,0.3088453256022203,0.8671154543195192,-0.1,0.8482972575337518,0.5169925001442313,-0.1
"Solomon Islands",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.5976389601761675,-0.1,-0.1
Somalia,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.4506194879750956,-0.1,-0.1
"South Africa",2009,0.814949449919657,-0.1,-0.1,-0.1,-0.1,0.7271398344306591,0.9169925001442312,-0.1
"South Sudan",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.6000402002757144,-0.1,-0.1
Spain,2009,0,0.7959726759972345,0.3088453256022203,0.6855734519595232,-0.1,0.8713681553403854,0.8339850002884623,-0.1
"Sri Lanka",2009,-0.1,0.5929159258293483,0.46326798840333033,0.48748227107277387,-0.1,0.6529758158859469,0.5169925001442313,-0.1
"Sri Lanka*",2009,0.3751201787385539,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
"State of Palestine",2009,0,0,-0.1,0.5134412444413001,-0.1,0.6305238227882077,0.928771237954945,-0.1
Sudan,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.6058815851888203,0.7400879436282184,-0.1
Suriname,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.7493399297248243,0.6339850002884624,-0.1
Swaziland,2009,0.6462218697719855,-0.1,-0.1,-0.1,-0.1,0.6730727727535262,-0.1,-0.1
Sweden,2009,0,0.9163682825755769,0.9084134039908979,1,-0.1,0.901162705935116,0.6,-0.1
Switzerland,2009,0,0.8880100637473874,0.48950825960253475,0.8869419589287371,-0.1,0.935730444291311,0.39999999999999997,-0.1
"Syrian Arab Republic",2009,0.16155546744299637,-0.1,-0.1,-0.1,-0.1,0.6607561707900723,0.6,-0.1
"Taiwan Province of China",2009,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
